t,memavail_mib,swap_used_mib,pswpin,pswpout,pgmajfault,nvme_read_mib,cpu_pct,cpu_max_core_pct,gpu_util,gpu_w,gpu_c,sm_mhz,throttle
07:09:22,37668,4197,4935279,7872391,14777071,141.2,6.4,100.0,4,11.60,47,2418,0x0000000000000000
07:09:23,37875,4197,4935279,7872391,14777077,137.8,7.2,99.0,4,11.62,47,2418,0x0000000000000000
07:09:24,37722,4197,4935279,7872391,14777077,139.8,6.4,100.0,4,11.66,47,2418,0x0000000000000000
07:09:25,37934,4197,4935279,7872391,14777081,134.8,6.3,100.0,4,11.62,47,2418,0x0000000000000000
07:09:26,37809,4197,4935279,7872391,14777081,139.6,6.5,100.0,4,11.60,47,2418,0x0000000000000000
07:09:27,37689,4197,4935279,7872391,14777081,138.5,6.4,100.0,3,11.60,47,2418,0x0000000000000000
07:09:28,37893,4197,4935279,7872391,14777087,140.5,7.3,100.0,4,11.58,47,2418,0x0000000000000000
07:09:29,37784,4197,4935279,7872391,14777087,138.5,6.5,100.0,4,11.58,47,2418,0x0000000000000000
07:09:30,37993,4197,4935279,7872391,14777091,134.2,6.4,100.0,4,11.60,47,2418,0x0000000000000000
07:09:31,37866,4197,4935279,7872391,14777091,140.8,6.4,100.0,4,11.57,47,2418,0x0000000000000000
07:09:32,37748,4197,4935279,7872391,14777091,138.2,6.3,100.0,4,11.57,47,2418,0x0000000000000000
07:09:33,37950,4197,4935279,7872391,14777096,140.0,7.0,99.0,4,11.57,47,2418,0x0000000000000000
07:09:34,37789,4197,4935279,7872391,14777096,140.8,6.4,100.0,4,11.55,47,2418,0x0000000000000000
07:09:35,37977,4197,4935279,7872391,14777100,135.9,6.3,100.0,4,11.55,47,2418,0x0000000000000000
07:09:36,37840,4197,4935280,7872391,14777101,138.3,6.6,100.0,4,11.57,47,2418,0x0000000000000000
07:09:37,37711,4197,4935280,7872391,14777101,139.5,6.3,100.0,4,11.57,47,2418,0x0000000000000000
07:09:38,37909,4197,4935280,7872391,14777106,139.0,7.1,100.0,3,11.55,46,2418,0x0000000000000000
07:09:39,37771,4197,4935280,7872391,14777106,142.5,6.7,100.0,4,11.58,46,2418,0x0000000000000000
07:09:40,37978,4197,4935280,7872391,14777110,135.2,6.4,100.0,4,11.55,46,2418,0x0000000000000000
07:09:41,37851,4197,4935280,7872391,14777110,140.8,6.4,99.0,4,11.59,46,2418,0x0000000000000000
07:09:42,38058,4197,4935280,7872391,14777112,134.9,6.6,100.0,4,11.53,46,2418,0x0000000000000000
07:09:43,37908,4197,4935280,7872391,14777115,144.6,7.3,100.0,4,11.54,46,2418,0x0000000000000000
07:09:44,37787,4197,4935280,7872391,14777115,141.5,6.4,100.0,3,11.52,46,2418,0x0000000000000000
07:09:45,38003,4197,4935280,7872391,14777119,135.9,6.5,100.0,4,11.50,46,2418,0x0000000000000000
07:09:46,37879,4197,4935280,7872391,14777120,141.0,6.6,100.0,4,11.56,46,2418,0x0000000000000000
07:09:47,38075,4197,4935280,7872391,14777124,136.2,6.4,100.0,4,11.53,46,2418,0x0000000000000000
07:09:48,37951,4197,4935280,7872391,14777124,141.5,7.2,100.0,3,11.55,46,2418,0x0000000000000000
07:09:49,37829,4197,4935281,7872391,14777125,140.8,6.7,100.0,4,11.54,46,2418,0x0000000000000000
07:09:50,38037,4197,4935288,7872391,14777137,137.8,6.5,99.0,4,11.53,46,2418,0x0000000000000000
07:09:51,37912,4197,4935288,7872391,14777137,140.0,6.4,100.0,4,11.56,46,2418,0x0000000000000000
07:09:52,38120,4197,4935288,7872391,14777141,135.2,6.4,100.0,3,11.52,46,2418,0x0000000000000000
07:09:53,37957,4197,4935288,7872391,14777142,141.5,7.2,100.0,3,11.54,46,2418,0x0000000000000000
07:09:54,37818,4197,4935288,7872391,14777142,124.0,6.7,100.0,4,11.43,46,2418,0x0000000000000000
07:09:55,38015,4197,4935288,7872391,14777146,122.5,6.4,100.0,3,11.45,46,2418,0x0000000000000000
07:09:56,37864,4197,4935288,7872391,14777146,129.0,6.5,100.0,3,11.46,46,2418,0x0000000000000000
07:09:57,38053,4197,4935288,7872391,14777150,126.7,6.7,99.0,4,11.44,46,2418,0x0000000000000000
07:09:58,37898,4197,4935288,7872391,14777150,133.5,7.2,100.0,4,11.49,46,2418,0x0000000000000000
07:09:59,37737,4197,4935288,7872391,14777150,133.5,6.5,100.0,4,11.53,46,2418,0x0000000000000000
07:10:00,37927,4197,4935288,7872391,14777154,123.0,6.5,100.0,4,11.46,46,2418,0x0000000000000000
07:10:01,37794,4197,4935288,7872391,14777154,130.2,6.8,100.0,4,11.49,46,2418,0x0000000000000000
07:10:02,37641,4197,4935288,7872391,14777154,130.0,6.5,100.0,4,11.47,46,2418,0x0000000000000000
07:10:03,37834,4197,4935288,7872391,14777158,135.9,7.2,100.0,3,11.49,46,2418,0x0000000000000000
07:10:04,37672,4197,4935288,7872391,14777158,134.8,6.6,100.0,4,11.51,46,2418,0x0000000000000000
07:10:05,37855,4197,4935288,7872391,14777162,128.5,6.7,99.0,3,11.45,46,2418,0x0000000000000000
07:10:06,37712,4197,4935288,7872391,14777162,130.5,6.6,100.0,3,11.45,46,2418,0x0000000000000000
